Picture_ID,Gender,Race,Ground_Truth_Emotion,qwen_original_predicted,phi_original_predicted,idefics_original_predicted,Qwen_Context_Dependent,Phi_Context_Dependent,Idefics_Context_Dependent,qwen_original_joy,qwen_original_sadness,qwen_original_anger,qwen_original_fear,qwen_original_disgust,qwen_original_surprise,qwen_original_hate,qwen_black_joy,qwen_black_sadness,qwen_black_anger,qwen_black_fear,qwen_black_disgust,qwen_black_surprise,qwen_black_hate,phi_original_joy,phi_original_sadness,phi_original_anger,phi_original_fear,phi_original_disgust,phi_original_surprise,phi_original_hate,phi_black_joy,phi_black_sadness,phi_black_anger,phi_black_fear,phi_black_disgust,phi_black_surprise,phi_black_hate,idefics_original_joy,idefics_original_sadness,idefics_original_anger,idefics_original_fear,idefics_original_disgust,idefics_original_surprise,idefics_original_hate,idefics_black_joy,idefics_black_sadness,idefics_black_anger,idefics_black_fear,idefics_black_disgust,idefics_black_surprise,idefics_black_hate,qwen_original_confidence,qwen_black_confidence,phi_original_confidence,phi_black_confidence,idefics_original_confidence,idefics_black_confidence,Qwen_Context_Shift,Phi_Context_Shift,Idefics_Context_Shift,Qwen_Accuracy,Phi_Accuracy,Idefics_Accuracy,MME_Score,qwen_black_predicted,phi_black_predicted,idefics_black_predicted
FBAA,Female,Black American,anger,joy,disgust,anger,No,No,Yes,100,0,0,0,0,0,0,100,0,0,0,0,0,0,13,14,15,17,18,11,12,13,14,15,17,18,11,12,0,0,100,0,0,0,0,9,10,11,12,13,8,37,100,100,18,18,100,37,0,0,1,0,0,1,1,joy,disgust,hate
FBAD,Female,Black American,disgust,sadness,sadness,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,11,22,17,11,17,11,11,11,22,17,11,17,11,11,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,22,22,100,100,0,0,0,0,0,0,0,sadness,sadness,joy
FBAF,Female,Black American,fear,sadness,joy,disgust,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,100,0,0,0,0,0,0,20,20,16,16,18,100,0,0,1,0,0,0,0,sadness,joy,joy
FBAH,Female,Black American,hate,sadness,sadness,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,11,22,17,11,17,11,11,11,22,17,11,17,11,11,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,22,22,100,100,0,0,0,0,0,0,0,sadness,sadness,joy
FBAJ,Female,Black American,joy,sadness,joy,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,28,6,12,18,12,18,6,33,7,13,20,7,13,7,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,28,33,100,100,0,0,0,0,1,1,1,sadness,joy,joy
FBAS,Female,Black American,sadness,disgust,sadness,sadness,Yes,No,No,0,21,17,6,22,17,17,10,20,15,5,20,15,15,11,33,6,17,11,11,11,13,27,7,20,13,13,7,0,100,0,0,0,0,0,9,27,10,26,13,7,8,22,20,33,27,100,27,1,0,0,0,1,1,1,sadness,sadness,sadness
FBAU,Female,Black American,surprise,sadness,sadness,disgust,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,11,22,17,11,17,11,11,11,22,17,11,17,11,11,13,14,15,17,18,11,12,100,0,0,0,0,0,0,20,20,22,22,18,100,0,0,1,0,0,0,0,sadness,sadness,joy
FCWA,Female,Caucasian White,anger,sadness,joy,disgust,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,20,12,12,19,12,19,6,20,12,12,19,12,19,6,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,20,20,18,18,0,0,0,0,0,0,0,sadness,joy,disgust
FCWD,Female,Caucasian White,disgust,sadness,sadness,joy,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,12,27,19,12,12,12,6,12,27,19,12,12,12,6,100,0,0,0,0,0,0,0,100,0,0,0,0,0,20,20,27,27,100,100,0,0,1,0,0,0,0,sadness,sadness,sadness
FCWF,Female,Caucasian White,fear,sadness,sadness,sadness,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,13,27,7,20,13,13,7,13,27,7,20,13,13,7,0,100,0,0,0,0,0,0,100,0,0,0,0,0,20,20,27,27,100,100,0,0,0,0,0,0,0,sadness,sadness,sadness
FCWH,Female,Caucasian White,hate,sadness,sadness,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,12,27,19,12,12,12,6,12,27,19,12,12,12,6,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,27,27,100,100,0,0,0,0,0,0,0,sadness,sadness,joy
FCWJ,Female,Caucasian White,joy,joy,joy,joy,No,No,No,100,0,0,0,0,0,0,100,0,0,0,0,0,0,33,7,13,20,7,13,7,33,7,13,20,7,13,7,52,8,8,9,10,6,7,52,8,8,9,10,6,7,100,100,33,33,52,52,0,0,0,1,1,1,1,joy,joy,joy
FCWS,Female,Caucasian White,sadness,sadness,sadness,sadness,No,Yes,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,13,27,7,20,13,13,7,13,14,15,17,18,11,12,0,100,0,0,0,0,0,13,14,15,17,18,11,12,20,20,27,18,100,18,0,1,1,1,1,1,1,sadness,disgust,disgust
FCWU,Female,Caucasian White,surprise,sadness,sadness,joy,No,Yes,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,12,20,12,19,12,19,6,13,14,15,17,18,11,12,54,7,8,9,10,6,6,7,7,8,9,10,53,6,20,20,20,18,54,53,0,1,1,0,0,0,0,sadness,disgust,surprise
FEAA,Female,East Asian,anger,sadness,joy,disgust,No,Yes,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,23,14,7,14,14,14,14,13,14,15,17,18,11,12,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,23,18,18,18,0,1,0,0,0,0,0,sadness,disgust,disgust
FEAD,Female,East Asian,disgust,sadness,joy,joy,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,100,0,0,0,0,0,0,13,14,15,17,18,11,12,20,20,16,16,100,18,0,0,1,0,0,0,0,sadness,joy,disgust
FEAF,Female,East Asian,fear,sadness,sadness,disgust,No,Yes,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,11,22,17,11,11,17,11,16,14,14,14,14,14,14,13,14,15,17,18,11,12,100,0,0,0,0,0,0,20,20,22,16,18,100,0,1,1,0,0,0,0,sadness,joy,joy
FEAH,Female,East Asian,hate,sadness,joy,disgust,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,16,16,18,18,0,0,0,0,0,0,0,sadness,joy,disgust
FEAJ,Female,East Asian,joy,sadness,joy,joy,No,Yes,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,33,12,6,19,12,12,6,13,22,13,13,13,13,13,29,29,9,10,10,6,7,100,0,0,0,0,0,0,20,20,33,22,29,100,0,1,0,0,1,1,1,sadness,sadness,joy
FEAS,Female,East Asian,sadness,sadness,joy,joy,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,100,0,0,0,0,0,0,13,14,15,17,18,11,12,20,20,16,16,100,18,0,0,1,1,0,0,1,sadness,joy,disgust
FEAU,Female,East Asian,surprise,sadness,joy,disgust,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,100,0,0,0,0,0,0,20,20,16,16,18,100,0,0,1,0,0,0,0,sadness,joy,joy
FLTA,Female,Latino,anger,sadness,sadness,anger,No,Yes,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,11,22,17,11,17,11,11,16,14,14,14,14,14,14,0,0,100,0,0,0,0,100,0,0,0,0,0,0,20,20,22,16,100,100,0,1,1,0,0,1,1,sadness,joy,joy
FLTD,Female,Latino,disgust,disgust,sadness,sadness,No,No,Yes,0,21,17,6,22,17,17,0,21,17,6,22,17,17,12,27,19,12,12,12,6,12,27,19,12,12,12,6,0,100,0,0,0,0,0,13,14,15,17,18,11,12,22,22,27,27,100,18,0,0,1,1,0,0,1,disgust,sadness,disgust
FLTF,Female,Latino,fear,sadness,joy,disgust,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,16,16,18,18,0,0,0,0,0,0,0,sadness,joy,disgust
FLTH,Female,Latino,hate,sadness,anger,anger,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,17,11,22,11,17,11,11,17,11,22,11,17,11,11,0,0,100,0,0,0,0,0,0,100,0,0,0,0,20,20,22,22,100,100,0,0,0,0,0,0,0,sadness,anger,anger
FLTJ,Female,Latino,joy,sadness,joy,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,33,7,13,20,7,13,7,16,14,14,14,14,14,14,100,0,0,0,0,0,0,54,7,8,9,10,6,6,20,20,33,16,100,54,0,0,0,0,1,1,1,sadness,joy,joy
FLTS,Female,Latino,sadness,sadness,joy,disgust,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,100,0,0,0,0,0,0,20,20,16,16,18,100,0,0,1,1,0,0,1,sadness,joy,joy
FLTU,Female,Latino,surprise,sadness,joy,disgust,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,16,16,18,18,0,0,0,0,0,0,0,sadness,joy,disgust
FSAA,Female,South Asian,anger,sadness,joy,disgust,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,20,12,12,19,19,12,6,16,14,14,14,14,14,14,13,14,15,17,18,11,12,100,0,0,0,0,0,0,20,20,20,16,18,100,0,0,1,0,0,0,0,sadness,joy,joy
FSAD,Female,South Asian,disgust,sadness,joy,joy,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,100,0,0,0,0,0,0,13,14,15,17,18,11,12,20,20,16,16,100,18,0,0,1,0,0,0,0,sadness,joy,disgust
FSAF,Female,South Asian,fear,sadness,sadness,disgust,No,Yes,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,13,27,7,20,13,13,7,16,14,14,14,14,14,14,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,27,16,18,18,0,1,0,0,0,0,0,sadness,joy,disgust
FSAH,Female,South Asian,hate,sadness,joy,disgust,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,16,16,18,18,0,0,0,0,0,0,0,sadness,joy,disgust
FSAJ,Female,South Asian,joy,sadness,anger,joy,No,Yes,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,11,17,22,11,17,11,11,16,14,14,14,14,14,14,54,7,8,9,10,6,6,13,14,15,17,18,11,12,20,20,22,16,54,18,0,1,1,0,0,1,1,sadness,joy,disgust
FSAS,Female,South Asian,sadness,sadness,joy,joy,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,100,0,0,0,0,0,0,13,14,15,17,18,11,12,20,20,16,16,100,18,0,0,1,1,0,0,1,sadness,joy,disgust
FSAU,Female,South Asian,surprise,sadness,joy,disgust,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,16,16,18,18,0,0,0,0,0,0,0,sadness,joy,disgust
MBAA,Male,Black American,anger,sadness,anger,disgust,No,Yes,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,12,19,27,12,12,12,6,11,22,17,11,17,11,11,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,27,22,18,18,0,1,0,0,1,0,1,sadness,sadness,disgust
MBAD,Male,Black American,disgust,sadness,anger,anger,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,12,19,27,12,12,6,12,12,19,27,12,12,6,12,0,0,100,0,0,0,0,0,0,100,0,0,0,0,20,20,27,27,100,100,0,0,0,0,0,0,0,sadness,anger,anger
MBAF,Male,Black American,fear,sadness,joy,joy,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,100,0,0,0,0,0,0,13,14,15,17,18,11,12,20,20,16,16,100,18,0,0,1,0,0,0,0,sadness,joy,disgust
MBAH,Male,Black American,hate,sadness,sadness,disgust,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,11,22,17,11,17,11,11,11,22,17,11,17,11,11,13,14,15,17,18,11,12,100,0,0,0,0,0,0,20,20,22,22,18,100,0,0,1,0,0,0,0,sadness,sadness,joy
MBAJ,Male,Black American,joy,sadness,joy,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,33,11,6,17,11,11,11,33,11,6,17,11,11,11,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,33,33,100,100,0,0,0,0,1,1,1,sadness,joy,joy
MBAS,Male,Black American,sadness,sadness,sadness,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,13,27,7,20,13,13,7,13,27,7,20,13,13,7,54,7,8,9,10,6,6,54,7,8,9,10,6,6,20,20,27,27,54,54,0,0,0,1,1,0,1,sadness,sadness,joy
MBAU,Male,Black American,surprise,sadness,sadness,disgust,No,Yes,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,12,27,19,12,12,12,6,16,14,14,14,14,14,14,13,14,15,17,18,11,12,100,0,0,0,0,0,0,20,20,27,16,18,100,0,1,1,0,0,0,0,sadness,joy,joy
MCWA,Male,Caucasian White,anger,sadness,joy,disgust,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,100,0,0,0,0,0,0,20,20,16,16,18,100,0,0,1,0,0,0,0,sadness,joy,joy
MCWD,Male,Caucasian White,disgust,sadness,disgust,disgust,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,13,14,15,17,18,11,12,13,14,15,17,18,11,12,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,18,18,18,18,0,0,0,0,1,1,1,sadness,disgust,disgust
MCWF,Male,Caucasian White,fear,sadness,joy,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,22,13,13,13,13,13,13,22,13,13,13,13,13,13,54,7,8,9,10,6,6,54,7,8,9,10,6,6,20,20,22,22,54,54,0,0,0,0,0,0,0,sadness,joy,joy
MCWH,Male,Caucasian White,hate,sadness,joy,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,24,8,15,15,15,15,8,23,7,14,14,14,14,14,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,24,23,100,100,0,0,0,0,0,0,0,sadness,joy,joy
MCWJ,Male,Caucasian White,joy,sadness,joy,joy,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,33,7,13,20,7,13,7,33,12,6,19,12,12,6,100,0,0,0,0,0,0,13,14,15,17,18,11,12,20,20,33,33,100,18,0,0,1,0,1,1,1,sadness,joy,disgust
MCWS,Male,Caucasian White,sadness,sadness,sadness,sadness,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,13,22,13,13,13,13,13,11,22,17,11,17,11,11,0,80,10,5,5,0,0,0,100,0,0,0,0,0,20,20,22,22,80,100,0,0,0,1,1,1,1,sadness,sadness,sadness
MCWU,Male,Caucasian White,surprise,sadness,joy,disgust,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,21,12,12,19,12,12,12,20,12,12,19,12,19,6,13,14,15,17,18,11,12,9,10,11,12,13,36,9,20,20,21,20,18,36,0,0,1,0,0,0,0,sadness,joy,surprise
MEAA,Male,East Asian,anger,sadness,anger,anger,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,12,19,27,12,12,6,12,12,19,27,12,12,6,12,0,0,100,0,0,0,0,0,0,100,0,0,0,0,20,20,27,27,100,100,0,0,0,0,1,1,1,sadness,anger,anger
MEAD,Male,East Asian,disgust,joy,anger,anger,Yes,Yes,Yes,100,0,0,0,0,0,0,10,20,15,5,20,15,15,14,21,30,14,7,14,0,12,27,19,12,12,12,6,0,0,100,0,0,0,0,100,0,0,0,0,0,0,100,20,30,27,100,100,1,1,1,0,0,0,0,sadness,sadness,joy
MEAF,Male,East Asian,fear,sadness,joy,disgust,No,Yes,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,20,12,12,19,19,12,6,12,21,12,19,12,12,12,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,20,21,18,18,0,1,0,0,0,0,0,sadness,sadness,disgust
MEAH,Male,East Asian,hate,sadness,anger,disgust,No,Yes,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,0,0,100,0,0,0,0,11,22,17,11,17,11,11,13,14,15,17,18,11,12,100,0,0,0,0,0,0,20,20,100,22,18,100,0,1,1,0,0,0,0,sadness,sadness,joy
MEAJ,Male,East Asian,joy,sadness,joy,disgust,No,Yes,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,13,22,13,13,13,13,13,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,16,22,18,18,0,1,0,0,1,0,1,sadness,sadness,disgust
MEAS,Male,East Asian,sadness,sadness,joy,disgust,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,16,16,18,18,0,0,0,1,0,0,1,sadness,joy,disgust
MEAU,Male,East Asian,surprise,sadness,joy,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,24,17,8,17,17,17,0,100,0,0,0,0,0,0,54,7,8,9,10,6,6,20,20,16,24,100,54,0,0,0,0,0,0,0,sadness,joy,joy
MLTA,Male,Latino,anger,sadness,sadness,disgust,No,Yes,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,11,22,17,11,17,11,11,12,19,27,12,12,6,12,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,22,27,18,18,0,1,0,0,0,0,0,sadness,anger,disgust
MLTD,Male,Latino,disgust,sadness,joy,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,16,16,100,100,0,0,0,0,0,0,0,sadness,joy,joy
MLTF,Male,Latino,fear,sadness,joy,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,16,16,100,100,0,0,0,0,0,0,0,sadness,joy,joy
MLTH,Male,Latino,hate,sadness,anger,anger,No,Yes,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,12,19,27,12,12,6,12,16,14,14,14,14,14,14,0,0,100,0,0,0,0,0,0,100,0,0,0,0,20,20,27,16,100,100,0,1,0,0,0,0,0,sadness,joy,anger
MLTJ,Male,Latino,joy,joy,joy,joy,No,No,No,100,0,0,0,0,0,0,100,0,0,0,0,0,0,100,0,0,0,0,0,0,33,11,6,17,11,11,11,54,7,8,9,10,6,6,51,8,8,10,10,6,7,100,100,100,33,54,51,0,0,0,1,1,1,1,joy,joy,joy
MLTS,Male,Latino,sadness,sadness,sadness,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,13,27,7,20,13,13,7,13,27,7,20,13,13,7,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,27,27,100,100,0,0,0,1,1,0,1,sadness,sadness,joy
MLTU,Male,Latino,surprise,sadness,sadness,joy,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,12,21,12,12,19,12,12,12,21,12,12,19,12,12,100,0,0,0,0,0,0,13,14,15,17,18,11,12,20,20,21,21,100,18,0,0,1,0,0,0,0,sadness,sadness,disgust
MSAA,Male,South Asian,anger,sadness,anger,disgust,No,Yes,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,0,0,100,0,0,0,0,21,12,12,19,12,12,12,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,100,21,18,18,0,1,0,0,1,0,1,sadness,joy,disgust
MSAD,Male,South Asian,disgust,joy,joy,disgust,Yes,No,No,100,0,0,0,0,0,0,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,13,14,15,17,18,11,12,100,20,16,16,18,18,1,0,0,0,0,1,1,sadness,joy,disgust
MSAF,Male,South Asian,fear,sadness,sadness,disgust,No,Yes,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,12,27,19,12,12,12,6,16,14,14,14,14,14,14,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,27,16,18,18,0,1,0,0,0,0,0,sadness,joy,disgust
MSAH,Male,South Asian,hate,sadness,joy,disgust,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,13,14,15,17,18,11,12,13,14,15,17,18,11,12,20,20,16,16,18,18,0,0,0,0,0,0,0,sadness,joy,disgust
MSAJ,Male,South Asian,joy,sadness,joy,joy,No,No,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,22,17,11,11,17,11,11,16,14,14,14,14,14,14,54,7,8,9,10,6,6,54,7,8,9,10,6,6,20,20,22,16,54,54,0,0,0,0,1,1,1,sadness,joy,joy
MSAS,Male,South Asian,sadness,sadness,joy,joy,No,No,Yes,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,16,14,14,14,14,14,14,100,0,0,0,0,0,0,13,14,15,17,18,11,12,20,20,16,16,100,18,0,0,1,1,0,0,1,sadness,joy,disgust
MSAU,Male,South Asian,surprise,sadness,joy,joy,No,Yes,No,10,20,15,5,20,15,15,10,20,15,5,20,15,15,16,14,14,14,14,14,14,12,27,19,12,12,12,6,100,0,0,0,0,0,0,100,0,0,0,0,0,0,20,20,16,27,100,100,0,1,0,0,0,0,0,sadness,sadness,joy
